HOME;AWAY;PRED_HOME;PRED_AWAY
Rakousko;Finsko;1;4
Švýcarsko;Česko;2;3
Švédsko;Slovensko;4;1
Dánsko;USA;1;4
Slovinsko;Kanada;1;6
Norsko;Kazachstán;3;2
Švédsko;Rakousko;5;1
Německo;Maďarsko;4;1
Francie;Lotyšsko;1;3
Dánsko;Švýcarsko;1;3
Slovensko;Slovinsko;4;2
USA;Maďarsko;6;0
Lotyšsko;Kanada;1;4
Německo;Kazachstán;4;2
Finsko;Francie;5;1
Norsko;Česko;1;4
Rakousko;Slovensko;2;4
USA;Švýcarsko;3;2
Finsko;Švédsko;2;3
Česko;Dánsko;4;2
Slovinsko;Lotyšsko;2;4
Norsko;Německo;2;3
Kanada;Francie;6;1
Kazachstán;Maďarsko;3;2
Slovensko;Francie;4;2
USA;Norsko;5;2
Lotyšsko;Švédsko;1;4
Kazachstán;Dánsko;2;4
Finsko;Slovinsko;5;1
Švýcarsko;Německo;4;2
Kanada;Rakousko;6;1
Česko;Maďarsko;6;1
Rakousko;Francie;3;2
Maďarsko;Dánsko;1;3
Švédsko;Slovinsko;6;1
Švýcarsko;Norsko;4;1
Finsko;Lotyšsko;4;2
USA;Německo;4;2
Francie;Švédsko;1;5
Česko;Kazachstán;5;1
Kanada;Slovensko;4;1
Dánsko;Norsko;3;2
Slovinsko;Rakousko;2;3
Kazachstán;USA;1;6
Slovensko;Lotyšsko;3;2
Maďarsko;Švýcarsko;1;5
Francie;Slovinsko;4;2
Německo;Česko;2;4
Kanada;Finsko;4;2
Maďarsko;Norsko;2;3
Lotyšsko;Rakousko;3;2
Švýcarsko;Kazachstán;5;1
Slovensko;Finsko;1;3
Česko;USA;2;3
Švédsko;Kanada;2;3
Německo;Dánsko;4;2
